predicted file,real file,number of residues,rmsd
000_pred.pdb,000_real.pdb,10,0.781
001_pred.pdb,001_real.pdb,15,4.749
002_pred.pdb,002_real.pdb,7,1.425
003_pred.pdb,003_real.pdb,10,1.39
004_pred.pdb,004_real.pdb,13,4.678
005_pred.pdb,005_real.pdb,11,2.575
006_pred.pdb,006_real.pdb,10,1.355
007_pred.pdb,007_real.pdb,11,0.776
008_pred.pdb,008_real.pdb,12,1.28
009_pred.pdb,009_real.pdb,24,3.804
010_pred.pdb,010_real.pdb,12,2.119
011_pred.pdb,011_real.pdb,10,0.813
012_pred.pdb,012_real.pdb,13,3.686
013_pred.pdb,013_real.pdb,10,1.377
014_pred.pdb,014_real.pdb,26,6.523
015_pred.pdb,015_real.pdb,10,4.42
016_pred.pdb,016_real.pdb,5,0.165
017_pred.pdb,017_real.pdb,12,2.424
018_pred.pdb,018_real.pdb,10,3.192
019_pred.pdb,019_real.pdb,10,1.203
020_pred.pdb,020_real.pdb,10,2.602
021_pred.pdb,021_real.pdb,11,3.394
022_pred.pdb,022_real.pdb,5,0.616
023_pred.pdb,023_real.pdb,8,1.769
024_pred.pdb,024_real.pdb,12,3.165
025_pred.pdb,025_real.pdb,13,2.9
026_pred.pdb,026_real.pdb,14,4.077
027_pred.pdb,027_real.pdb,14,3.719
028_pred.pdb,028_real.pdb,19,1.765
029_pred.pdb,029_real.pdb,10,0.75
030_pred.pdb,030_real.pdb,5,0.205
031_pred.pdb,031_real.pdb,10,0.682
032_pred.pdb,032_real.pdb,4,0.651
033_pred.pdb,033_real.pdb,10,0.603
034_pred.pdb,034_real.pdb,14,1.251
035_pred.pdb,035_real.pdb,24,9.69
036_pred.pdb,036_real.pdb,18,0.877
037_pred.pdb,037_real.pdb,12,1.54
038_pred.pdb,038_real.pdb,11,2.01
039_pred.pdb,039_real.pdb,14,2.633
040_pred.pdb,040_real.pdb,13,3.42
041_pred.pdb,041_real.pdb,11,1.919
042_pred.pdb,042_real.pdb,13,0.664
043_pred.pdb,043_real.pdb,11,0.738
044_pred.pdb,044_real.pdb,17,0.663
045_pred.pdb,045_real.pdb,13,1.881
046_pred.pdb,046_real.pdb,11,1.261
047_pred.pdb,047_real.pdb,17,1.332
048_pred.pdb,048_real.pdb,10,0.469
049_pred.pdb,049_real.pdb,13,3.251
050_pred.pdb,050_real.pdb,9,0.542
051_pred.pdb,051_real.pdb,11,2.051
052_pred.pdb,052_real.pdb,10,4.899
053_pred.pdb,053_real.pdb,7,0.515
054_pred.pdb,054_real.pdb,11,5.249
055_pred.pdb,055_real.pdb,10,0.742
056_pred.pdb,056_real.pdb,9,1.953
057_pred.pdb,057_real.pdb,18,3.159
058_pred.pdb,058_real.pdb,16,8.629
059_pred.pdb,059_real.pdb,16,1.727
060_pred.pdb,060_real.pdb,10,5.61
061_pred.pdb,061_real.pdb,10,1.9
062_pred.pdb,062_real.pdb,10,0.3
063_pred.pdb,063_real.pdb,12,6.424
064_pred.pdb,064_real.pdb,9,1.929
065_pred.pdb,065_real.pdb,24,3.524
066_pred.pdb,066_real.pdb,9,0.364
067_pred.pdb,067_real.pdb,14,5.428
068_pred.pdb,068_real.pdb,16,2.287
069_pred.pdb,069_real.pdb,13,5.439
070_pred.pdb,070_real.pdb,10,5.978
071_pred.pdb,071_real.pdb,13,5.459
072_pred.pdb,072_real.pdb,11,3.858
073_pred.pdb,073_real.pdb,10,0.556
074_pred.pdb,074_real.pdb,11,2.833
075_pred.pdb,075_real.pdb,11,2.428
076_pred.pdb,076_real.pdb,8,1.312
077_pred.pdb,077_real.pdb,12,5.074
078_pred.pdb,078_real.pdb,11,1.166
079_pred.pdb,079_real.pdb,19,1.53
080_pred.pdb,080_real.pdb,7,1.644
081_pred.pdb,081_real.pdb,8,0.615
082_pred.pdb,082_real.pdb,12,0.639
083_pred.pdb,083_real.pdb,9,0.284
084_pred.pdb,084_real.pdb,21,15.62
085_pred.pdb,085_real.pdb,7,0.622
086_pred.pdb,086_real.pdb,10,0.646
087_pred.pdb,087_real.pdb,5,0.615
088_pred.pdb,088_real.pdb,12,0.709
089_pred.pdb,089_real.pdb,11,1.61
090_pred.pdb,090_real.pdb,7,1.033
091_pred.pdb,091_real.pdb,16,11.794
092_pred.pdb,092_real.pdb,10,3.102
093_pred.pdb,093_real.pdb,9,0.329
094_pred.pdb,094_real.pdb,13,3.668
095_pred.pdb,095_real.pdb,15,1.422
096_pred.pdb,096_real.pdb,15,2.575
097_pred.pdb,097_real.pdb,6,0.878
098_pred.pdb,098_real.pdb,11,3.665
099_pred.pdb,099_real.pdb,8,1.147
100_pred.pdb,100_real.pdb,17,3.848
101_pred.pdb,101_real.pdb,7,1.635
102_pred.pdb,102_real.pdb,10,1.267
103_pred.pdb,103_real.pdb,14,5.161
104_pred.pdb,104_real.pdb,9,2.336
105_pred.pdb,105_real.pdb,12,4.931
106_pred.pdb,106_real.pdb,7,1.599
107_pred.pdb,107_real.pdb,11,2.69
108_pred.pdb,108_real.pdb,17,5.838
109_pred.pdb,109_real.pdb,12,0.714
110_pred.pdb,110_real.pdb,10,0.657
111_pred.pdb,111_real.pdb,5,0.581
112_pred.pdb,112_real.pdb,8,1.266
113_pred.pdb,113_real.pdb,14,9.778
114_pred.pdb,114_real.pdb,12,0.867
115_pred.pdb,115_real.pdb,16,7.181
116_pred.pdb,116_real.pdb,8,2.357
117_pred.pdb,117_real.pdb,19,4.01
118_pred.pdb,118_real.pdb,5,0.662
119_pred.pdb,119_real.pdb,11,0.691
120_pred.pdb,120_real.pdb,9,0.565
121_pred.pdb,121_real.pdb,19,1.449
122_pred.pdb,122_real.pdb,6,2.234
